GRP,Image_Name,EN-Loading-ms,EN-preproc-ms,EN-proc-ms,EN-postproc-ms,Edge Exec time (ms),SER-Loading-ms,SER-preproc-ms,SER-proc-ms,SER-postproc-ms,Server exec time (ms),size (KB),ceil size (kb)
100,1_subject01.gif,6.603206,0.5040360001,29.926557,0.006463000091,37.040262,1.7118,0.07079999887,9.899199998,0.002400000085,11.6842,34.58300781,35
100,1_subject01.glasses.gif,6.355808,0.5024610001,30.109365,0.005759000032,36.973393,1.762899999,0.07120000009,10.0646,0.002400000085,11.9011,35.44335938,36
100,1_subject01.happy,6.513415,0.4873329999,30.066172,0.006426000027,37.073346,1.138099999,0.0713999998,9.935099999,0.002500000846,11.1471,35.83203125,36
100,1_subject01.leftlight.gif,6.932507,0.501314,30.656084,0.006980999956,38.096886,2.274799999,0.09350000073,11.0143,0.00320000072,13.3858,41.91503906,42
100,1_subject01.noglasses.gif,6.507138,0.5020550001,29.97605,0.00533299999,36.990576,1.789399999,0.07189999997,9.844,0.002300001142,11.7076,33.30078125,34
100,1_subject01.normal,6.495009,0.533535,30.076379,0.005517999966,37.110441,1.072700001,0.0684000006,9.902100001,0.002100001439,11.0453,35.28222656,36
100,1_subject01.rightlight.gif,8.31992,0.514814,33.712073,0.005462999979,42.55227,2.024400001,0.07740000001,12.684,0.00209999962,14.7879,69.94824219,70
100,1_subject01.sad,6.691129,0.49511,30.258859,0.009073999991,37.454172,5.5495,0.3589999997,20.9101,0.002500000846,26.8211,35.51757813,36
100,1_subject01.sleepy,6.558263,0.4869439999,30.057811,0.006777999943,37.109796,2.599699999,0.1379000005,17.5971,0.002899998435,20.3376,35.45605469,36
100,1_subject01.surprised.gif,6.505174,0.502388,32.1664,0.008740999988,39.182703,1.863899999,0.07580000056,9.9926,0.002200000381,11.9345,35.78808594,36
100,1_subject01.wink,6.501636,0.5223320001,30.100735,0.006129999974,37.130833,1.102499999,0.07350000124,9.8631,0.00209999962,11.0412,35.52832031,36
100,10_subject10.centerlight.gif,6.919473,0.51435,29.680648,0.006963000033,37.121434,13.6807,0.1369000001,9.843,0.001500000508,23.6621,30.31054688,31
100,10_subject10.glasses.gif,6.383531,0.499537,29.924049,0.006461999988,36.813579,1.7723,0.07840000035,9.881600001,0.003299999662,11.7356,30.74902344,31
100,10_subject10.happy,6.421566,0.500388,29.898046,0.006944000006,36.826944,1.103099999,0.07120000009,9.7422,0.002300001142,10.9188,31.41113281,32
100,10_subject10.leftlight.gif,6.853676,0.487888,30.365611,0.007407999988,37.714583,1.740199999,0.07120000009,10.2243,0.002599999789,12.0383,42.35351563,43
100,10_subject10.noglasses.gif,6.382808,0.500462,29.900861,0.00672200008,36.790853,1.814599998,0.08829999933,9.848900001,0.00209999962,11.7539,31.48632813,32
100,10_subject10.normal,6.416566,0.49661,29.862396,0.006611000003,36.782183,1.0714,0.0684000006,10.2042,0.002400000085,11.3464,31.15136719,32
100,10_subject10.rightlight.gif,6.913452,0.498462,30.501012,0.006591999977,37.919518,1.9409,0.07220000043,10.8386,0.00209999962,12.8538,39.18847656,40
100,10_subject10.sad,6.327867,0.502407,29.857718,0.006424999924,36.694417,1.172,0.06500000018,9.7052,0.002499999027,10.9447,31.05371094,32
100,10_subject10.sleepy,6.267961,0.4903509999,29.816735,0.006887999916,36.581935,1.1552,0.06659999963,10.0957,0.002400000085,11.3199,30.85058594,31
100,10_subject10.surprised.gif,6.522675,0.488944,30.038785,0.006093000025,37.056497,1.864200001,0.07229999937,9.9957,0.002200000381,11.9344,33.75976563,34
100,10_subject10.wink,6.450511,0.5057579999,29.844278,0.006222000025,36.806769,6.166699999,0.3618999999,30.025,0.00380000165,36.5574,30.6328125,31
100,11_subject11.centerlight.gif,6.613226,0.48724,30.350977,0.005926000085,37.457369,1.909099999,0.07759999971,10.0412,0.00270000055,12.0306,37.52636719,38
100,11_subject11.glasses.gif,6.488416,0.4879620001,30.243462,0.006332999988,37.226173,1.824700001,0.09730000056,10.1428,0.002799999493,12.0676,35.29589844,36
100,11_subject11.happy,6.871715,0.518146,30.150277,0.006944000006,37.547082,1.0779,0.06829999984,9.7592,0.001799999154,10.9072,34.92089844,35
100,11_subject11.leftlight.gif,7.029877,0.49961,30.883716,0.006259000088,38.419462,1.8079,0.06750000102,10.7484,0.001799999154,12.6256,44.1328125,45
100,11_subject11.noglasses.gif,6.641856,0.495778,30.32187,0.005889000022,37.465393,1.7346,0.07579999874,9.8323,0.002400000085,11.6451,35.18457031,36
100,11_subject11.normal,8.357768,0.4940919999,30.244344,0.007277999998,39.103482,1.253300001,0.07089999963,9.9068,0.002800001312,11.2338,35.10742188,36
100,11_subject11.rightlight.gif,7.532022,0.544794,30.985126,0.006518000077,39.06846,1.922400001,0.07199999891,11.3798,0.002200000381,13.3764,46.67578125,47
100,11_subject11.sad,6.678612,0.493722,30.363976,0.006036000059,37.542346,1.2006,0.06869999925,10.0395,0.001799999154,11.3106,35.35742188,36
100,11_subject11.sleepy,8.339379,0.492795,30.291543,0.007017999906,39.130735,1.224900001,0.0713999998,10.4809,0.002999999197,11.7802,35.23144531,36
100,11_subject11.surprised.gif,6.454767,0.4900179999,30.089084,0.006889000019,37.040758,1.804899999,0.07530000039,9.7879,0.001999998858,11.6701,35.33789063,36
100,11_subject11.wink,6.377715,0.4885,30.255008,0.006963000033,37.128186,1.2214,0.2561000001,10.2012,0.002200000381,11.6809,35.15820313,36
100,12_subject12.centerlight.gif,6.842957,0.489259,30.133145,0.00663000003,37.471991,1.869,0.07280000136,9.8688,0.004600000466,11.8152,36.21484375,37
100,12_subject12.glasses.gif,6.866218,0.4909629999,30.641213,0.005850999969,38.004245,1.810400001,0.08189999971,10.785,0.002499999027,12.6798,43.73632813,44
100,12_subject12.happy,7.172186,0.4894629999,30.847701,0.005925999972,38.515276,1.5229,0.1037000002,12.689,0.002200000381,14.3178,47.0703125,48
100,12_subject12.leftlight.gif,4.706836,0.489704,30.294839,0.006591999977,35.497971,1.7185,0.07039999946,10.149,0.001999998858,11.9399,40.3671875,41
100,12_subject12.noglasses.gif,6.950769,0.4994430001,30.744669,0.006018000022,38.200899,1.791800001,0.07460000052,10.7552,0.002200000381,12.6238,42.50292969,43
100,12_subject12.normal,6.903806,0.492295,30.567813,0.006314999951,37.970229,1.245400001,0.07440000081,10.8215,0.002200000381,12.1435,42.50292969,43
100,12_subject12.rightlight.gif,7.131613,0.5003880001,30.806589,0.005759000032,38.444349,2.0092,0.07449999976,11.2016,0.002200000381,13.2875,44.04101563,45
100,12_subject12.sad,7.260367,0.499537,31.028172,0.006183999972,38.79426,1.2152,0.07189999997,11.3705,0.002200000381,12.6598,48.78710938,49
100,12_subject12.sleepy,7.33442,0.501722,33.070349,0.01490600005,40.921397,1.412399999,0.08070000149,11.7757,0.002599999789,13.2714,51.46289063,52
100,12_subject12.surprised.gif,7.308438,0.500147,31.039683,0.006851999956,38.85512,2.077699999,0.07329999971,11.7857,0.00590000127,13.9426,48.46484375,49
